kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
anaphora,apostles,\N,Anaphora of the Apostles,ቅዳሴ ሐዋርያት,ቅዳሴ ሐዋርያት,\N,,,,,,,,,,,,,,,
section,,,,,,,apostles-opening,Opening,መጀመሪያ,መጀመሪያ,,,,,,,,,,,
block,,,,,,,,,,,,ap-op-1,prayer,priest,አኮቴተ ቁርባን ዘአበዊነ ሐዋርያት በረከተ ጸሎቶሙ የሀሉ ምስለ ርዕሰ ሊቃነ ጳጳሳቲነ አባ ማትያስ ወምስለ ሊቀ ጳጳስነ አባ ጴጥሮስ ወምስለ ኵልነ ሕዝበ ክርስቲያን ወይዕቀባ ለሀገሪትነ ኢትዮጵያ ለዓለም ዓለም አሜን።,የአባቶቻችን የሐዋርያት የቁርባን ምስጋና። የፀሎታቸው በረከት በጳጳሳቱ አለቃ በአባ ማትያስ በጳጳሳችን በአባ ጴጥሮስ በሁላችንም ላይ ይደር አገራችንን ኢትዮጵያን ይጠብቃት ለዘላለሙ አሜን።,"The Anaphora of our fathers the Apostles, may the blessing of their prayer be with our rulers and people, unto the ages of ages. Amen.",,\N,\N,\N
block,,,,,,,,,,,,ap-op-2,prayer,priest,እግዚአብሔር ምስለ ኵልክሙ።,እግዚአብሔር ከሁላችሁ ጋር ይሁን።,The Lord be with you all.,Igzee'abihér misle kwulikimu.,\N,\N,\N
block,,,,,,,,,,,,ap-op-3,response,congregation,ምስለ መንፈስከ።,ከመንፈስህ ጋራ።,And with your spirit.,Misle menfesike.,\N,\N,\N
block,,,,,,,,,,,,ap-op-4,prayer,priest,አዕኵትዎ ለአምላክነ,ፊጣሪያችንን አመስግኑት,Give ye thanks unto our God.,A'ikwutiwo le'amlakine,\N,\N,\N
block,,,,,,,,,,,,ap-op-5,response,congregation,ርቱዕ ይደሉ,እውነት ነው ይገባዋል።,"It is right, it is just.",Ritu'i yidelu,\N,\N,\N
block,,,,,,,,,,,,ap-op-6,prayer,priest,አልዕሉ አልባቢክሙ,ልቦናችሁ ሰማያዊ ነገር ያስብ።,Lift up your hearts.,Al'ilu albabeekimu,\N,\N,\N
block,,,,,,,,,,,,ap-op-7,response,congregation,ብነ ኅበ እግዚአብሔር አምላክነ።,በፈጣሪያችን በእግዚአብሔር ዘንድ ተስፋ አለን።,We have lifted them up unto the Lord our God.,Bine habe Igzee'abihér amlakine.,\N,\N,\N
section,,,,,,,apostles-lords-prayer,Lord's Prayer,አቡነ ዘበሰማያት,አባታችን ሆይ,,,,,,,,,,,
block,,,,,,,,,,,,ap-lp-1,prayer,congregation,አቡነ ዘበሰማያት ይትቀደስ ስምከ ትምጻእ መንግሥትከ,አባታችን ሆይ! በሰማይ የምትኖር፣ ስምህ ይቀደስ፣ መንገሥትህ ትምጣ፣,"Our Father who art in heaven, hallowed be thy name, Thy kingdom come",Abune zebesemayat yitqedes simike timtsa'i mengistike,\N,\N,\N
block,,,,,,,,,,,,ap-lp-2,prayer,congregation,ወይኩን ፈቃድከ በከመ በሰማይ ከማሁ በምድር። ሲሳየነ ዘለለ ዕለትነ ሀበነ ዮም።,ፈቃድህ በሰማይ እንደ ሆነ እንዲሁም በምድር ይሁን! የዕለት እንጀራችንን ስጠን ዛሬ፣,"Thy will be done on earth as it is in heaven; give us this day our daily bread,",weyikun feqadike bekeme besemay kemahu medir. Seesayene zelele'iletine habene yom.,\N,\N,\N
