kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
anaphora,saint-cyril,\N,St. Cyril,ቅዱስ ቄርሎስ,ቅዱስ ቄርሎስ,\N,,,,,,,,,,,,,,,
section,,,,,,,saint-cyril-opening,Opening,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-op-1,rubric,\N,,,"The Anaphora of St. Cyril; may his prayer and blessing be with our (head of state: King, Queen, President . . . ), unto endless ages. Amen.",,\N,\N,\N
block,,,,,,,,,,,,cy-op-2,prayer,priest,,,The Lord be with all of you.,,\N,\N,\N
block,,,,,,,,,,,,cy-op-3,response,congregation,,,And with your spirit.,,\N,\N,\N
block,,,,,,,,,,,,cy-op-4,prayer,priest,,,Give ye thanks unto our God.,,\N,\N,\N
block,,,,,,,,,,,,cy-op-5,response,congregation,,,"It is right, it is just.",,\N,\N,\N
block,,,,,,,,,,,,cy-op-6,prayer,priest,,,Lift up your hearts.,,\N,\N,\N
block,,,,,,,,,,,,cy-op-7,response,congregation,,,We have lifted them up unto the Lord our God.,,\N,\N,\N
section,,,,,,,saint-cyril-preface,Preface,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-pr-1,prayer,priest,,,"The Lord, God of gods, Lord of lords, the invisible God, Whose existence is unsearchable, is higher than all, yea, His nature is unfathomable.",,\N,\N,\N
block,,,,,,,,,,,,cy-pr-2,prayer,priest,,,"He is the consuming fire, the life-giving fire, the God of gods and the Lord of lords, Whose throne is above the heavens and Whose footstool is the earth, He is high and far away, and dwells in light.",,\N,\N,\N
block,,,,,,,,,,,,cy-pr-3,prayer,priest,,,"High and invisible is He Who dwells in heaven. He is clothed in garments of fire and adorned with flames of fire, His throne is on the heads of the angels, His going to and fro is through impalpable air, His high firmament is in heaven, clouds are His chariot, His way is in the stormy sea and on the heads of the angels who minister Him.",,\N,\N,\N
block,,,,,,,,,,,,cy-pr-4,rubric,\N,,,"Deacon: Ye that are sitting, stand up.",,\N,\N,\N
block,,,,,,,,,,,,cy-pr-5,prayer,priest,,,"With their two wings of fire they cover their face that the consuming fire may not consume them, with their two luminous wings they cover their feet that his terrible light may not burn them, and with their two spiritual wings they fly unto the ends of the world.",,\N,\N,\N
block,,,,,,,,,,,,cy-pr-6,prayer,priest,,,"Seraphim together with their leaders, cherubim according to their sanctification, the angels in their ranks, the watchful according to their armies, the heads of the watchful according to their tribes, the angels of fire according to their light, and the spiritual according to their position, give thanks and hallow with terrible voice, cry aloud, and on high, and while sanctifying they say : Holy, holy, holy, perfect Lord of hosts, heaven and earth are full of the holiness of Thy glory.",,\N,\N,\N
section,,,,,,,saint-cyril-sanctus,Sanctus,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-san-1,rubric,\N,,,Deacon: Answer ye.,,\N,\N,\N
block,,,,,,,,,,,,cy-san-2,response,congregation,,,"Holy, holy, holy, perfect Lord of hosts, heaven and earth are full of the holiness of Thy glory.",,\N,\N,\N
block,,,,,,,,,,,,cy-san-3,prayer,priest,,,"And we say together with them, Thou art holy, and wonderful is the holiness of Thy glory, Father of our Lord and Saviour Jesus Christ. Truly He alone is Thy Son, and Thou alone truly art His Father.",,\N,\N,\N
section,,,,,,,saint-cyril-post-sanctus,Post-Sanctus,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-ps-1,prayer,priest,,,"His birth from Thee is Unsearchable. As Thine existence has no beginning, so Thy Son has neither beginning nor end, and as Thy days have no beginning His days also have no beginning.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-2,prayer,priest,,,"None sits at Thy right hand except Thy Son born from Thee, and none sits on Thy throne but Thine image Who is like Thee and is Thy likeness.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-3,prayer,priest,,,"He is Thy Son and the messenger of Thy counsel, Thy beloved Who is of Thee, Thine image, Thine appearance, Thy mind, Thy power, Thy wisdom, Thy counsel, Thy right-hand, and Thine arm; He is true God from Thine essence, the truly only-begotten Son.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-4,prayer,priest,,,"He was born from Thine essence, the Word perfect in all, Who is Thine image born from Thee and equal to Thee; He is like Thee high and wonderful.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-5,prayer,priest,,,Angels and archangels worship Him; through Thy love for man Thou sent Him to us because Thou has loved us.,,\N,\N,\N
block,,,,,,,,,,,,cy-ps-6,prayer,priest,,,Humbling Himself He redeemed us. He who was born from Thee and is like Thee was born from us in our likeness which is in Thine image.,,\N,\N,\N
block,,,,,,,,,,,,cy-ps-7,prayer,priest,,,"He, who is perfect like Thee and is Thine image, walked among us in our image.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-8,prayer,priest,,,"He told us about Thy being, and was made flesh like us. He who overawes the seraphim from the highest heaven suffered at His own will.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-9,prayer,priest,,,"We saw Him and despised Him Who is great before Thee. He is the glorious Lord among us, yet He is hidden from the watchful. Truly He appeared, and was born openly of our nature.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-10,prayer,priest,,,"He resembles Thee in image and appearance, was made man, came in the likeness of our flesh, lived among us in our image, and He is glorious like Thee.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-11,prayer,priest,,,"He flew and descended unto us, and suffered insult as we do. He flew and ascended unto Thee and He is honourable as Thou art.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-12,prayer,priest,,,"He, to Whom the watchful give thanks in heaven, was crowned with a crown of thorns and was crucified on the tree of the cross with thieves. He, before Whom the high ones bow their heads in awe, bowed his head before the crucifiers to suffer.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-13,prayer,priest,,,"A weak tree carried Him who carries heaven and earth. A narrow grave contained Him, before whom heaven and earth tremble, when He was buried in it.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-14,prayer,priest,,,"Him who gathered the ends of earth in His palm and held the seas of the world in the hollow of His hand, they wrapped with linen cloths and buried in a grave of three cubits. He stretched forth His honourable head and the grave was filled with Him.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-15,prayer,priest,,,"He rose from the dead on the third day and entered where His disciples were, while the door was closed, and then departed from His disciples.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-16,prayer,priest,,,"While He was there, His glory covered the heavens. He ascended into heaven, sat at the right hand of His Father, heaven became His throne and the earth His footstool.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-17,prayer,priest,,,"He will come again to judge the living and the dead, He will thunder above and His voice will shake the foundations of the earth, and the dead will come out unto Him from their graves, to Whom be glory and honour, together with His Father and the Holy Spirit, unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,cy-ps-18,rubric,\N,,,Deacon: Look to the east.,,\N,\N,\N
section,,,,,,,saint-cyril-intercessions,Intercessions,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-in-1,prayer,priest,,,"Yea, Lord, it is Thou Who raises all by Thy word, who raised the dead through Thy death. There are among the unbelievers those who believed in Thy cross, there are among the sinners those who returned through Thy death, there are among the unclean those who were sanctified through Thy suffering, there are among the dead those whom Thou raised through Thy resurrection, and among those who were gathered together to judge Thee there were those who believed in Thee.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-2,prayer,priest,,,"Thou did open the iron gate and will raise those whose bodies waxed old in the grave, and will awaken those who fell asleep in their life time, and will raise those lying in the earth, and will set free the slaves of sin, and will justify through Thy mercy those who were defiled.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-3,response,congregation,,,"According to Thy mercy, our God, and not according to our sins. (to be chanted thrice)",,\N,\N,\N
block,,,,,,,,,,,,cy-in-4,prayer,priest,,,"Through Thy mercy Thou reconciles the heretics, strengthens with Thy word those who return to Thee, causes the heretics to return that they may walk in Thy way, gatherers the scattered to enter into Thy paradise.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-5,prayer,priest,,,Those among Thy people who committed sin Thou causes to return unto Thy faith.,,\N,\N,\N
block,,,,,,,,,,,,cy-in-6,prayer,priest,,,"O Lord, Thou strengthens the weak in spirit that all who live on earth may know that Thou art God and know Thy Son Jesus Christ Whom Thou sent, Thy beloved Son Whom Thou loves and who was born from Thee. Glory be to Thee with Him and with the invisible Holy Spirit, unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-7,rubric,\N,,,Deacon: Let us give heed.,,\N,\N,\N
block,,,,,,,,,,,,cy-in-8,prayer,priest,,,"We offer before Thee this pure and holy offering for the sake of Abel Seth, Enoch, and Melchisedec, for the sake of Abraham, Isaac and Jacob, for the sake of Moses, Aaron and all the prophets.",,\N,\N,\N
block,,,,,,,,,,,,cy-in-9,prayer,priest,,,"For the sake of Simon Peter, John the Baptist and all the apostles.",,\N,\N,\N
