kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
anaphora,saint-dioscorus,\N,St. Dioscorus,ቅዱስ ዲዮስቆሮስ,ቅዱስ ዲዮስቆሮስ,\N,,,,,,,,,,,,,,,
section,,,,,,,saint-dioscorus-opening,Opening,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,di-op-1,rubric,\N,,,"The Anaphora of St. Dioscorus, may his prayer and blessing be with our (head of state: King, Queen, President . . .), unto the ages of ages. Amen.",,\N,\N,\N
block,,,,,,,,,,,,di-op-2,prayer,priest,,,The Lord be with all of you.,,\N,\N,\N
block,,,,,,,,,,,,di-op-3,response,congregation,,,And with your spirit.,,\N,\N,\N
block,,,,,,,,,,,,di-op-4,prayer,priest,,,Give ye thanks unto our God.,,\N,\N,\N
block,,,,,,,,,,,,di-op-5,response,congregation,,,"It is right, it is just.",,\N,\N,\N
block,,,,,,,,,,,,di-op-6,prayer,priest,,,Lift up your hearts.,,\N,\N,\N
block,,,,,,,,,,,,di-op-7,response,congregation,,,We have lifted them up unto the Lord our God.,,\N,\N,\N
section,,,,,,,saint-dioscorus-preface,Preface,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,di-pr-1,prayer,priest,,,"From before the world and ever after, God is in His Trinity, God is in His divinity, and God is in His kingdom.",,\N,\N,\N
block,,,,,,,,,,,,di-pr-2,prayer,priest,,,"Before the dawn and the morning, before day and night, and before the creation of the angels, God was in His kingdom.",,\N,\N,\N
block,,,,,,,,,,,,di-pr-3,prayer,priest,,,"Before the heavens were stretched out, before the face of the earth appeared, and before the green plants were produced, God was in His kingdom.",,\N,\N,\N
block,,,,,,,,,,,,di-pr-4,prayer,priest,,,"Before the sun, the moon, the stars, and before the motion of lights, God was in His kingdom.",,\N,\N,\N
block,,,,,,,,,,,,di-pr-5,prayer,priest,,,"Before the moving beasts, the flying birds, and before the beasts of the sea, God was in His kingdom.",,\N,\N,\N
block,,,,,,,,,,,,di-pr-6,prayer,priest,,,"Before He created Adam after His image and likeness and before Adam transgressed His commandment, God was in His kingdom.",,\N,\N,\N
block,,,,,,,,,,,,di-pr-7,prayer,priest,,,"Glory be to the Father, the Son, and the Holy Spirit, both now and ever and unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-1,prayer,deacon,በአንተ ብፁዕ ወቅዱስ አባ ማትያስ፣ ወብፁዕ ሊቀ ጳጳስነ አባ ጴጥሮስ፣,ብፁዕ ቅዱስ ስለሚሆን ስለ ርእሰ ሊቃነ ጳጳሳት ስለ አባ ማትያስ ብፁዕም ስለሚሆን ስለ አባ ጴጥሮስ በጸሎታቸውና,"For the sake of the blessed and holy Patriarch Abba and the blessed Archbishop Abba, while they yet give Thee thanks in their prayer and their supplications: Stephen the first martyr, Zacharias the priest and John the Baptist.",Beinte bitsu'i weqidus Abba Matyas webitsu'i leeqe papasine Abba Petros,\N,\N,\N
block,,,,,,,,,,,,ap-int-2,prayer,deacon,እንዘ የአኵቱከ በጸሎቶሙ ወበስእለቶሙ እስጢፋኖስ ቀዳሜ ሰማዕት፣ ዘካርያስ ካህን ወዮሐንስ መጥምቅ,በልመናቸው ሲያመስግኑህ የሰማዕታት መጀመሪያ እስጢፋኖስ። ካህን ዘካርያስና መጥምቁ ዩሐንስ,"And for the sake of all the saints and martyrs who have gone to their rest in faith: Matthew and Mark, Luke, and John, the four Evangelists; Mary the mother of God, Simon Peter and Andrew, James and John, Philip and Bartholomew, Thomas and Matthew, Thaddaeus and Nathanael, James the son of Alphaeus and Matthias, the twelve Apostles; and James the Apostle, brother of the Lord, Bishop of Jerusalem: Paul, Timothy, Silas, and Barnabas; Titus, Philemon, and Clement, the seventy-two disciples, the five hundred brethren, the three hundred and eighteen Orthodox; may the prayers of them all come unto us and visit us together with them.",inze ye'akwutuke betselotomu webes'iletomu Isteefanos qedame sema'it. Zekarias kahin weyohanis metmiq.,\N,\N,\N
block,,,,,,,,,,,,ap-int-3,prayer,deacon,,,"And remember Thou the peace of the universal apostolic church, which was made by Christ through His precious blood.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-4,prayer,deacon,,,"Remember, Thou, all the patriarchs, archbishops, bishops, priests, and deacons who keep straight the way of the true word.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-5r,rubric,\N,\N,\N,The assistant priest shall say the Prayer of Benediction of St. Basil.,\N,\N,\N,\N
block,,,,,,,,,,,,ap-int-5,prayer,priest,,,"O holy Trinity, Father, Son, and Holy Spirit, bless Thy people, beloved Christians, with heavenly and earthly blessings.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-6,prayer,priest,,,"And send upon us the grace of the Holy Spirit, and keep the doors of Thy holy church open unto us in mercy and in faith; and perfect unto us the faith of Thy holy Trinity unto our last breath.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-7,prayer,priest,,,"O my Lord Jesus Christ, visit the sick of Thy people; heal them; and guide our fathers and our brethren who have journeyed, becoming strangers: bring them back to their dwelling places in peace and in health.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-8,prayer,priest,,,"Bless the airs of heaven, and the rains and the fruits of the earth of this year, in accordance with Thy grace, and make joy and gladness prevail perpetually on the face of the earth.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-9,prayer,priest,,,And confirm for us Thy peace. Turn the hearts of mighty kings to deal kindly with us always.,,\N,\N,\N
block,,,,,,,,,,,,ap-int-10,prayer,priest,,,"Grant peace to the scholars of the church, who are continually gathered in Thy holy church; to all, to each by their several names, in the presence of powerful rulers, O our God, increase Thy peace.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-11,prayer,priest,,,"Rest the souls of our ancestors, both our brothers and sisters who have fallen asleep and gained their rest in the right faith.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-12,prayer,priest,,,"And bless those who give gifts of incense, bread and wine, ointment and oil, decorations and reading books, and vessels for the sanctuary, that Christ our God may give them their reward in the heavenly Jerusalem.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-13,prayer,priest,,,"And all of them that are assembled with us to entreat for mercy, Christ our God have mercy upon them: and all them that give alms before Thine awful and terrifying throne, receive.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-14,prayer,priest,,,"And comfort every straitened soul, they who are in chains, and they who are in exile or captivity.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-15,prayer,priest,,,"And them that are held in bitter servitude, our God, deliver them in Thy mercy. And all of them that have entrusted it to us to remember them in our supplications to Thee O our Master Jesus Christ, remember them in Thy heavenly kingdom, and remember me, thy sinful servant.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-16,prayer,priest,ኦ እግዚኦ አድኅን ሕዝበከ ወባርክ ርስተከ,አቤቱ ሕዝብህን አድን ርስትህንም ባርክ።,"O Lord, save thy people and bless Thine inheritance, feed them and lift them up for ever.",O igzio adihin hizibike webarik risteke,\N,\N,\N
block,,,,,,,,,,,,di-pr-10,prayer,deacon,,,"Lord, pity and have mercy upon the patriarchs, archbishops, bishops, priests, deacons and all the Christian people.",,\N,\N,\N
block,,,,,,,,,,,,di-pr-11,prayer,priest,,,"Let heaven hear, the earth listen; and the foundations of the earth be afraid.",,\N,\N,\N
