kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
anaphora,saint-epiphanius,\N,St. Epiphanius,ቅዱስ ኤጲፋንዮስ,ቅዱስ ኤጲፋንዮስ,\N,,,,,,,,,,,,,,,
section,,,,,,,saint-epiphanius-opening,Opening,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-op-1,rubric,\N,,,"The Anaphora of St. Epiphanius, Bishop of the Island of Cyprus. May his prayer and blessing be with our (Head of state: King, Queen, President . . .), unto the ages of ages. Amen.",,\N,\N,\N
block,,,,,,,,,,,,ep-op-2,prayer,priest,,,The Lord be with all of you.,,\N,\N,\N
block,,,,,,,,,,,,ep-op-3,response,congregation,,,And with your spirit.,,\N,\N,\N
block,,,,,,,,,,,,ep-op-4,prayer,priest,,,Give ye thanks unto our God.,,\N,\N,\N
block,,,,,,,,,,,,ep-op-5,response,congregation,,,"It is right, it is just.",,\N,\N,\N
block,,,,,,,,,,,,ep-op-6,prayer,priest,,,Lift up your hearts.,,\N,\N,\N
block,,,,,,,,,,,,ep-op-7,response,congregation,,,We have lifted them up unto the Lord our God.,,\N,\N,\N
section,,,,,,,saint-epiphanius-preface,Preface,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-pr-1,prayer,priest,,,"God is great in His greatness, holy in His holiness, blessed in His beatitude and glorified in His glory. He is the first, yet of Him it is not asked, ""When was His beginning?"" With Him it is ever ""now."" Yet of Him it is not asked, ""How long will He endure?""; And He is the last. Yet of Him it is not asked, ""When will His end be?""",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-2,prayer,priest,,,"There is no beginning of His being, there is no end of His existence, His days are numberless and His years are countless. His youth does not wax old, the strength of His power does not diminish, His countenance is incorruptible and the light of His face cannot be dimmed.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-3,prayer,priest,,,"The sea of His wisdom is unlimited, His merciful commands are countless, the range of His kingdom is immeasurable and His spacious government is boundless.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-4,prayer,priest,,,"So invisible is He, that man cannot find Him by concepts, so lofty is He that man cannot understand Him with His heart, so high is He that the eagles cannot reach Him, and so deep is He that the fish cannot swim unto Him.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-5,prayer,priest,,,"He is higher than the heads of the mountains and deeper than the depth of the sea. He is so strong that the Kings cannot rise against Him, and He is so victorious that the rulers cannot stand against Him.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-6,prayer,priest,,,"He is so wise that He can destroy the counsel of the wise, His omniscience is such that He can make the thought of the counselors to be of no effect, He is so mighty that He can loose the bridle of the strong, and He is so courageous that He can pulverize the teeth of sinners and put down the arms of the haughty.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-7,prayer,priest,,,"He is so honourable that He can put to shame the face of the hypocrites, and He is so mighty that He can cast away the light of the filthy.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-8,prayer,priest,,,"He is the only one without equal, and He has absolute authority, without the help of kinsmen. The heavens will be destroyed, and the land will vanish, and all will wax old like a garment, but He is the same for ever.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-9,prayer,priest,,,"Wonderful is the movement of the sea, but more wonderful is God in His highest heaven. None resembles Him and none competes with Him from among all the creatures and all the children of gods. He Himself alone is God, He Himself alone is Lord, He Himself alone is creator and He Himself alone is maker.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-10,prayer,priest,,,"He does not seek a helper for the plan He conceived, and He does not want an adviser for the work He desired. He knows all things before they happen as if they had happened before and that which has not happened as if it had happened.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-11,prayer,priest,,,"He inspects the mind without asking and examines the hearts without seeking, and sees in darkness without light.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-12,prayer,priest,,,"He knows the righteous before they do righteousness, He judges the sinners before they commit sin, He understands the prudent before they go out from their fathers' loins and understands the sinners from their mothers' wombs.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-13,prayer,priest,,,"Nothing is hidden, nothing is concealed, nothing is invisible to Him, all is open unto Him, all is spread before His eyes, all is written in His book, and all is present to His mind.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-14,prayer,priest,,,"He does the great, countless, honourable and marvellous deeds which are inscrutable. His works are more wonderful than we can comprehend. His power is more marvelous than anything we have heard and His glory is more astonishing than any had told us.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-15,prayer,priest,,,"He made light out of darkness, He knows how to divide clouds, He divides water at His pleasure and He hides the elect with clouds.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-16,prayer,priest,,,"He built the earth and prepared its boundaries, and established its ends in the way He saw, and strengthened its corners.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-17,prayer,priest,,,"He fenced the sea with doors when it went out of its mother's womb, He made the clouds to be its clothes, and wrapped it with mist, He limited it and put into it doors and locks and said to it, ""Reach here and do not go beyond your limit, but your storm will move within you.""",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-18,prayer,priest,,,"The light of dawn was arranged over it, and the morning star knew His commandment. He took mud from the earth and created the living being and made him speak on the earth.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-19,prayer,priest,,,He reached the ends of the sea and walked in the paths of the deep.,,\N,\N,\N
block,,,,,,,,,,,,ep-pr-20,prayer,priest,,,"Out of terror, the gates of death will be opened to Him, and the gatekeepers of hell will be afraid as soon as they see Him. He knows the spaciousness under heaven and that which happens above heaven.",,\N,\N,\N
