kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
anaphora,saint-james-sarugh,\N,St. Jacob of Sarug,ቅዱስ ያዕቆብ ዘሱሩጅ,ቅዱስ ያዕቆብ ዘሱሩጅ,\N,,,,,,,,,,,,,,,
section,,,,,,,saint-james-sarugh-opening,Opening,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,js-op-1,prayer,priest,\N,\N,"The Anaphora of Jacob, Bishop of Serough; may his prayer and blessing be with our (head of state: King, Queen, President . . .) unto the ages of ages. Amen.",\N,\N,\N,\N
block,,,,,,,,,,,,js-op-2,prayer,priest,\N,\N,The Lord be with all of you.,\N,\N,\N,\N
block,,,,,,,,,,,,js-op-3,response,congregation,\N,\N,And with your spirit.,\N,\N,\N,\N
block,,,,,,,,,,,,js-op-4,prayer,priest,\N,\N,Give ye thanks unto our God.,\N,\N,\N,\N
block,,,,,,,,,,,,js-op-5,response,congregation,\N,\N,"It is right, it is just.",\N,\N,\N,\N
block,,,,,,,,,,,,js-op-6,prayer,priest,\N,\N,Lift up your hearts.,\N,\N,\N,\N
block,,,,,,,,,,,,js-op-7,response,congregation,\N,\N,We have lifted them up unto the Lord our God.,\N,\N,\N,\N
block,,,,,,,,,,,,js-op-8,prayer,priest,\N,\N,"Stand up in the fear of God, open the windows of your ears that you may attend, and awaken your hearts. Our being here in this place is not in vain. God sees and examines every one of us.",\N,\N,\N,\N
block,,,,,,,,,,,,js-op-9,prayer,priest,\N,\N,"Let us draw near and offer our prayer to God remembering the ancient fathers who gained their rest in the right faith; and we begin from the present honourable father, the Patriarch Abba ( _______ ) and his fellow, Archbishop Abba (________).",\N,\N,\N,\N
block,,,,,,,,,,,,ap-int-1,prayer,deacon,በአንተ ብፁዕ ወቅዱስ አባ ማትያስ፣ ወብፁዕ ሊቀ ጳጳስነ አባ ጴጥሮስ፣,ብፁዕ ቅዱስ ስለሚሆን ስለ ርእሰ ሊቃነ ጳጳሳት ስለ አባ ማትያስ ብፁዕም ስለሚሆን ስለ አባ ጴጥሮስ በጸሎታቸውና,"For the sake of the blessed and holy Patriarch Abba and the blessed Archbishop Abba, while they yet give Thee thanks in their prayer and their supplications: Stephen the first martyr, Zacharias the priest and John the Baptist.",Beinte bitsu'i weqidus Abba Matyas webitsu'i leeqe papasine Abba Petros,\N,\N,\N
