kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
anaphora,saint-john-chrysostom,John Chrysostom,St. John Chrysostom,ቅዱስ ዮሐንስ ዝርጋዊ,ቅዱስ ዮሐንስ ዝርጋዊ,\N,,,,,,,,,,,,,,,
section,,,,,,,sjc-opening,Opening,,,,,,,,,,,,,
block,,,,,,,,,,,,sjc-op-1,rubric,\N,,,"The Anaphora of John Chrysostom, may his prayer and blessing be with our (head of state: King, Queen, President . . .) unto endless ages.",,\N,\N,\N
block,,,,,,,,,,,,sjc-op-2,prayer,priest,,,The Lord be with all of you.,,\N,\N,\N
block,,,,,,,,,,,,sjc-op-3,response,congregation,,,And with your spirit.,,\N,\N,\N
block,,,,,,,,,,,,sjc-op-4,prayer,priest,ነአኵቶ ለእግዚአብሔር።,ለእግዚአብሔር እናመሰግነው።,Give ye thanks unto our God.,Ne'akkweto le-Egzi'abher.,\N,\N,\N
block,,,,,,,,,,,,sjc-op-5,response,congregation,ይደሉ ወይሄሉ።,ይገባልና ይገባልና።,"It is right, it is just.",Yidelu we-yihelu.,\N,\N,\N
block,,,,,,,,,,,,sjc-op-6,prayer,priest,ልቡናክሙ ላዕሌሁ።,ልቦናችሁን ወደ ላይ አንሱ።,Lift up your hearts.,Libbunakimu la'ile-hu.,\N,\N,\N
block,,,,,,,,,,,,sjc-op-7,response,congregation,አሎን ኀበ እግዚአብሔር።,ወደ እግዚአብሔር ይኑሩ።,We have lifted them up unto the Lord our God.,Alon khabe Egzi'abher.,\N,\N,\N
block,,,,,,,,,,,,sjc-op-8,prayer,deacon,,,"Let your thought be above, and your heart in heaven, recognize where you stand; hear the word of righteousness and listen to the good news.",,\N,\N,\N
section,,,,,,,sjc-preface,Preface,,,,,,,,,,,,,
block,,,,,,,,,,,,sjc-pr-1,prayer,priest,,,"Behold we proclaim the existence of the Father Who was before the world was created and will live for ever. None was before Him, none will be after Him, none is like Him, and none knows what is His being.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-2,prayer,priest,,,"He who was before all, before the heavens were stretched out, before the face of the earth appeared, before the mountains arose, before the airs expanded He was in his place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-3,prayer,priest,,,"Before the depths were established and the floods began to flow as rivers, He was in His place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-4,prayer,priest,,,"Before the winds blew, before the thunderbolts flashed, before the lightenings were drawn out, before the thunders thundered, and before the clouds started to spread, He was in His place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-5,prayer,priest,,,"Before the lights appeared, before the darkness was to cover, before the light of the day gave light, and before night was fixed, He was in His place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-6,prayer,priest,,,"Before the sun fixed the length of the day and before the moon fixed the length of the night, He was in His place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-7,prayer,priest,,,"Before the stars glittered, before the spirits moved, and before the angels were created, He was in His place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-8,prayer,priest,,,"Before the speaking soul, before the mortal flesh, and before all the creatures, those that live in hiding and those that live in the open; those that are above and those that are beneath, He was in His place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-9,prayer,priest,,,"Before time and hours, before nights and days, before months and years before days of the week and the seasons, He was in His place.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-10,prayer,priest,,,"His glory is from Himself, His praise is from Himself, and the riches of His grace are full and perfect.",,\N,\N,\N
