kind,doc_id,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
doc,serate-qidase,Serate Qidase,ሥርዓተ ቅዳሴ,ሥርዓተ ቅዳሴ,\N,,,,,,,,,,,,,,,
section,,,,,,section-mlyzjz9w58u,Introduction to Qidase,,የቅዳሴ ምገቢያ,,,,,,,,,,,
block,,,,,,,,,,,serate-qidase-moeszqmyi5u,placeholder,priest,,,,,\N,intro-day-of-week-overrides,\N
section,,,,,,section-mlyzswhaxfo,Hallelujah,,ሃሌ ሉያ,,,,,,,,,,,
block,,,,,,,,,,,serate-preparatory-service-010,response,congregation,ሃሌ ሉያ! እመቦ ብእሲ እምእመናን ዘቦአ ቤተ ክርስቲያን፤ በጊዜ ቅዳሴ ወኢሰምዐ መጻሕፍተ ቅዱሳተ ወኢተዐገሠ እስከ ይፌጽሙ ጸሎተ ቅዳሴ ወኢተመጠወ እምቍርባን ይሰደድ እምቤተ ክርስቲያን እስመ አማሰነ ሕገ እግዚአብሔር፤ ወአስተሐቀረ ቁመተ ቅድመ ንጉሥ ሰማያዊ፤ ንጉሠ ሥጋ ወመንፈስ፤ ከመዝ መሐሩነ ሐዋርያት በአብጥሊሶሙ።,ሃሌ ሉያ! በቅዳሴ ጊዜ ከምዕመናን ወገን ወደ ቤተ ክርስቲያን የገባ ሰው ቢኖር፣ ቅዱሳት መጻሕፍትን ሳይሰማ፣ የቅዳሴው ጸሎት እስኪፈጸም ባይታገሥ፣ ከቁርባኑም ባይቀበል፣ ከቤተ ክርስቲያን ይለይ፣ የእግዚአብሔርን ሕግ አፍርሷልና። የሥጋና የነፍስ ፈጣሪ በሚሆን በሰማያዊ ንጉሥ ፊት መቆምንም አቃሏልና። ሐዋርያት በሲኖዶሳቸው እንዲህ ብለው አስተምረውናል።,"Hallelujah! If there be anyone of the faithful that has entered the church at the time of mass and and has not heard the holy Scriptures, and hath not waited until they finish the prayer of the Mass, and hath not received the holy communion, let him be driven out of the church: for he hath violated the law of God and disdained to Stand Before the heavenly King, the King of Body and Spirit. This the Apostles have taught us in their canons.",Halléluya! imebo bi'isee im'imenan zebo'a béte kiristeeyan Begeezé qidase we’i’sem’a metsa’hifte qidusate we'eete'agese iske yifetsimu tselote qidasé We'eetemetewe imqwurban yiseded imbéte kiristeeyan isme amasene hige Igzee'abihér we'astehaqere qemete Qidme nigus semayawee nigus siga wemenfes kemez meharune,\N,\N,\N
section,,,,,,section-mlyzpsvihec,You are the Pot of pure gold,,,,,,,,,,,,,
block,,,,,,,,,,,serate-preparatory-service-014,response,congregation,አንቲ ውእቱ መሶበ ወርቅ ንጹሕ እንተ ውስቴታ መና ኅቡዕ ኅብስት ዘወረደ እምሰማያት ወሀቤ ሕይወት ለኵሉ ዓለም።,ለዓለም ሁሉ ሕይወት የሚሰጥ ከሰማይ የወረደ ኅብስት የተሠወረ መና ያለብሽ፣ ንጹሕ የወርቅ መሶብ አንቺ ነሽ።,"Thou art the pot of pure gold wherein is hidden the manna, the bread which came down from heaven giving life unto all the world.",Antee wi'itu mesobewerq nitsuh inte wistéta mena hibu'i hibist zewerede imsemayat wehabé hiywet lekwulu alem. ,\N,\N,\N
section,,,,,,section-mlz0d2zi5bv,Preparation for start,,ዝግጅት ለመጀመር,,,,,,,,,,,
block,,,,,,,,,,,serate-preparatory-service-016,prayer,priest,ቡሩክ እግዚአብሔር አብ አኃዜ ኵሉ ዓለም አምላክነ።,ዓለምን የያዘ እግዚአብሔር አብ ቡሩክ ነው።,"Blessed be the Lord, Almighty Father, our God.",Buruk Igzee'abihér Ab ahazé kwulu alem amlakine.,\N,\N,\N
block,,,,,,,,,,,serate-qidase-moefr5oj5ub,response,congregation,አሜን።,አሜን።,Amen.,Amen.,\N,\N,\N
block,,,,,,,,,,,serate-qidase-moefsu923lz,prayer,priest,ወቡሩክ ወልድ ዋሕድ እግዚእነ ኢየሱስ ክርስቶስ መድኃኒነ።,ጌታችን መድኃኒታችን ኢየሱስ ክርስቶስ ወልድ ዋሕድም ቡሩክ ነው።,"And blessed be the only Son, our Lord and our Savior Jesus Christ.",Weburuk weld wahid igzee'ine Eeyesus Kiristos medhaneene.,\N,\N,\N
block,,,,,,,,,,,serate-qidase-moefsxv9mew,response,congregation,አሜን።,አሜን።,Amen.,Amen.,\N,\N,\N
block,,,,,,,,,,,serate-qidase-moefug1dpxc,prayer,priest,ወቡሩክ መንፈስ ቅዱስ ጰራቅሊጦስ መጽንዒ ወመንጽሔ ኵልነ።,ሁላችንን የሚያነጻ፣ የሚያጸና መንፈስ ቅዱስም ቡሩክ ነው።,"And blessed be the Holy Spirit, the Paraclete, the comforter and cleanser of us all.",Weburuk Menfes Qidus peraqleetos mentsi'ee wementsihé kwuline.,\N,\N,\N
block,,,,,,,,,,,serate-qidase-moefu8b1qy9,response,congregation,አሜን።,አሜን።,Amen.,Amen.,\N,\N,\N
block,,,,,,,,,,,serate-qidase-moefx9gi1gc,prayer,priest,ስብሐት ወክብር ይደሉ ለሥሉስ ቅዱስ አብ ወወልድ ወመንፈስ ቅዱስ ዕሩይ ኵሉ ጊዜ ይእዜኒ ወዘልፈኒ ወለዓለመ ዓለም አሜን።,ልዩ ሦስት ለሚሆኑ ሁልጊዜም ለተካከሉ ለአብ ለወልድ ለመንፈስ ቅዱስ ክብር ምስጋና ይገባል። ዛሬም ዘወትርም ለዘላለሙ አሜን,"Glory and honor are due to the Holy Trinity, the Father and the Son and the Holy Spirit, always coequal, both now and ever and world without end. Amen.",Sibhat wekibir yidelu lesilus qidus Ab weWeld weMenfes Qidus iruy kwulo geezé yi'izénee wezelfenee wele'aleme alem amén.,\N,\N,\N
